,desc,hed
24,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
25,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
0,Start of left perturbation,"(Def/Left-perturb, Onset)"
1,End of left perturbation,"(Def/Left-perturb, Offset)"
2,Start of right perturbation,"(Def/Right-perturb, Onset)"
3,End of right perturbation,"(Def/Right-perturb, Offset)"
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
5,End driving car forward.,"(Def/Drive-vehicle, Offset)"
6,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
7,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
8,Start of a trial,"(Def/Trial-marker, Onset)"
9,End of a trial,"(Def/Trial-marker, Offset)"
10,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
11,Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
12,Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)"
13,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
14,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
15,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
16,Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
17,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
18,Start of an undefined button press.,"(Def/Press-button, (Indeterminate-action), Onset)"
19,End of undefined button press.,"(Def/Press-button, Offset)"
20,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
21,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
22,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
23,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
24,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
25,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
26,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
27,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
28,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
29,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
30,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
31,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
0,Start of left perturbation,"(Def/Left-perturb, Onset)"
1,End of left perturbation,"(Def/Left-perturb, Offset)"
2,Start of right perturbation,"(Def/Right-perturb, Onset)"
3,End of right perturbation,"(Def/Right-perturb, Offset)"
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
5,End driving car forward.,"(Def/Drive-vehicle, Offset)"
6,Beginning of sound clip relevant to task.,"(Def/Play-sound-clip/TaskRelated, (Related-to, Task), Onset)"
7,End of a sound clip relevant to task.,"(Def/Play-sound-clip/TaskRelated, Offset)"
8,Beginning of a sound clip unrelated to task.,"(Def/Play-sound-clip/TaskUnrelated, Onset)"
9,End of a sound clip unrelated to task.,"(Def/Play-sound-clip/TaskUnrelated, Offset)"
10,Beginning of sound clip on mindfulness breath counting exercise.,"(Def/Play-sound-clip/MindfulnessClip, (Instructional, (Related-to, Rest)), Onset)"
11,End of sound clip on mindfulness breath counting exercise.,"(Def/Play-sound-clip/MindfulnessClip,  Offset)"
12,Start oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, ((Car, (Less-than, Item-count/13)), (Move, Towards, (Leftward, Lane))), Onset)"
13,End oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, Offset)"
14,Start vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, ((Car, (Less-than, Item-count/4)), In-front-of), Onset)"
15,End vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, Offset)"
16,Start vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, ((Car, Item-count/2, Behind), (Move, In-front-of)), Onset)"
17,End vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, Offset)"
18,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
19,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
20,Start showing a 35 MPH sign.,"(Def/Show-speed-sign/35, Onset)"
21,End showing a 35 MPH sign.,"(Def/Show-speed-sign/35, Offset)"
22,Start police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, (Car, Target, Oddball), Onset)"
23,End police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, Offset)"
24,Start of a trial,"(Def/Trial-marker, Onset)"
25,End of a trial,"(Def/Trial-marker, Offset)"
26,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
27,Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
28,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
29,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
30,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
31,Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
32,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
33,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
34,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
35,Start of an undefined button press.,"(Def/Press-button, (Indeterminate-action), Onset)"
36,End of undefined button press.,"(Def/Press-button, Offset)"
37,Start of button press to acknowledge a police car.,"(Def/Press-button, (Detect, (Target, Label/Police-car)), Onset)"
38,End of button press to acknowledge a police car.,"(Def/Press-button, Offset)"
39,"A single police car was in view, and reported, then occluded, then in view again, and reported again. It’s not clear whether the subject knew it was the same target both times.","(Participant-response, Indeterminate-action)"
40,Participant gives false alarm target response.,"(Participant-response, Incorrect-action)"
41,Participant gives valid detection of target. ,"(Participant-response, Correct-action)"
42,Participant gives repeated target detection response.,"(Participant-response, Repetitive, Inappropriate-action)"
43,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
44,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
45,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
46,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
47,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
48,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
49,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
50,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
51,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
52,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
53,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
54,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
0,Start of left perturbation,"(Def/Left-perturb, Onset)"
1,End of left perturbation,"(Def/Left-perturb, Offset)"
2,Start of right perturbation,"(Def/Right-perturb, Onset)"
3,End of right perturbation,"(Def/Right-perturb, Offset)"
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)"
5,End driving car forward.,"(Def/Drive-vehicle, Offset)"
6,Start showing a 25 MPH sign.,"(Def/Show-speed-sign/25, Onset)"
7,End showing a 25 MPH sign.,"(Def/Show-speed-sign/25, Offset)"
8,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
9,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
10,Start of a trial,"(Def/Trial-marker, Onset)"
11,End of a trial,"(Def/Trial-marker, Offset)"
12,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
13,Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
14,Lane position cannot be measured.,"Data-feature, Label/LanePositionNotMeasured, (Vehicle, Position, Invalid)"
15,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
16,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
17,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
18,Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
19,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
20,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
21,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
22,The Arduino data collection system starts failing.,"(Def/System-failure/Arduino, Onset)"
23,The Arduino data collection system enda failing.,"(Def/System-failure/Arduino, Offset)"
24,The EEG data collection system starts failing.,"(Def/System-failure/EEG, Onset)"
25,The EEG data collection system ends failing.,"(Def/System-failure/EEG, Offset)"
26,The eye tracking system starts failing.,"(Def/System-failure/Eye-tracking, Onset)"
27,The eye tracking system ends failing.,"(Def/System-failure/Eye-tracking, Offset)"
28,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
29,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
30,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
31,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
32,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
33,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
34,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
35,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
36,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
0,Start of basic guard duty scenario.,"(Def/Experiment/Basic-guard-scenario, Onset)"
1,End of basic guard duty scenario.,"(Def/Experiment/Basic-guard-scenario, Offset)"
2,Start block of images from Area C.,(Def/Environmental-area/Area-C Onset)
3,Stop block of images from Area C.,"(Def/Environmental-area/Area-C, Offset)"
4,Start showing of a valid image,"(Def/Show-image, (Valid), Onset)"
5,End showing of a valid image,"(Def/Show-image, Offset)"
6,Start showing image incorrect access level.,"(Def/Show-image, (Invalid, Label/No_access_to_level), Onset)"
7,End showing image incorrect access level.,"(Def/Show-image, Offset)"
8,Start showing image of expired ID,"(Def/Show-image, (Invalid, Label/Expired_ID), Onset)"
9,End showing image of expired ID.,"(Def/Show-image, Offset)"
10,Start showing image with photo ID mismatch.,"(Def/Show-image, (Invalid, Label/Photo_mismatch), Onset)"
11,End showing image with photo ID mismatch.,"(Def/Show-image, Offset)"
12,Start showing image with suspicious DOB.,"(Def/Show-image, (Invalid, Label/Suspicious_DOB), Onset)"
13,End showing image with suspicious DOB.,"(Def/Show-image, Offset)"
14,Start showing image with no watermark.,"(Def/Show-image, (Invalid, Label/No_watermark), Onset)"
15,End showing image with no watermark.,"(Def/Show-image, Offset)"
16,Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)"
17,Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)"
18,Start taking survey,"(Def/Take-survey, Onset)"
19,End taking survey.,"(Def/Take-survey, Offset)"
20,Start of EEG system failure.,"(Def/System-failure/EEG, Onset)"
21,End of EEG system failure.,"(Def/System-failure/EEG, Offset)"
22,Start of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Onset)"
23,End of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Offset)"
24,Experiment ,"(Definition/Experiment/#,  (Experiment-structure, Task, Label/#))"
25,Checks should be for authorization to a specified area.,"(Definition/Environmental-area/#, (Experiment-structure,  Condition-variable/Environmental-area-cond, Label/#, Time-block))"
26,Show an ID image.,"(Definition/Show-image, (Sensory-event, Visual-presentation, (Image, Label/ID-badge)))"
27,Participant takes a survey,"(Definition/Take-survey, (Agent-action, (Experiment-participant, (Perform, (Label/Take-survey, Touchscreen)))))"
28,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
0,Particpant pushes the left button.,"Agent-action, Participant-response, (Press, (Push-button, (Left-side-of)))"
1,Participant pushes the right button,"Agent-action, Participant-response, (Press, (Push-button, (Right-side-of)))"
2,Display an image of a cross character on the screen.,"Sensory-event, Visual-presentation, (Cross, (Center-of, Computer-screen))"
3,Display an image of a dash character on the screen.,"Sensory-event, Visual-presentation, (Dash, (Center-of, Computer-screen))"
4,Display a letter on the screen.,"Sensory-event, Visual-presentation, (Character, (Center-of, Computer-screen))"
5,Play a beep sound.,"Sensory-event, Auditory-presentation, Beep"
6,Play a buzz sound,"Sensory-event, Auditory-presentation, Buzz"
7,This event is part of a bad or incomplete trial. Some of the expected trial events are missing.,"(Invalid, Experimental-trial)"
8,Feedback that the last participant response was correct.,"(Feedback, Correct-action)"
9,Feedback that the last participant response was incorrect.,"(Feedback, Incorrect-action)"
10,Indicates participant should fixate.,"(Task, Fixate)"
11,The participant correctly indicated that the probe was not a target.,"((Recall, Non-target), Correct-action)"
12,The participant indicated that the probe was not a target but the probe was a target.,"((Recall, Non-target), Incorrect-action)"
